id,ilgar_comp_id,company_name
172,CMP794D6SJ91E3,NEOPERL ITALIA SRL
173,CMP08CGPWR3100,REKSOİL PETROKİMYA SANAYİ VE TİCARET ANONİM ŞİRKETİ
174,CMP443K0D31EY,PETROL OFİSİ A.Ş
175,CMP967GKKH61GA,UNILEVER SANAYİ VE TİCARET TÜRK A.Ş.-MERSİN SB
176,CMP8TDEFYF617R,BEYCROP GIDA VE TARIM ÜRÜNLERİ SAN. VE TİC. LTD. ŞTİ.
177,CMP0LTHHENJ2BY,DOĞUŞ OTOMOTİV
178,CMP00LFE811RW313T,LINDSAY SULAMA VE ALTYAPI SAN. VE TIC. A.S.
179,CMP8HGHD02216Y,ATLAS SHIP SUPPLY GEMİ TEDARİK HİZMETLERİ TİCARET ANONİM ŞİRKETİ
180,CMP3MTHRT91XW,AYGAZ A.Ş.
181,CMP3URG4D915R,BERSHKA GİYİM İTH İHR. VE TİC. LTD ŞTİ.
182,CMP7HWHNBXB1DG,DYSTAR KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ-SERBEST BÖLGE
183,CMP0T9FMH51112,ECOSYSTEM TARIM ÜRÜNLERİ TOHUM GÜBRE ZİRAİ İLAÇ TİC.SAN.İTH.VE İHR.A.Ş.
184,CMPAK2FBC0113C,EGE FREN SANAYİ VE TİC.A.Ş. İTHALAT
185,CMP0BTKECLC29L,IMCD TİCARET PAZARLAMA VE DABIŞMANLIK LTD ŞTİ
186,CMP7BRF1A751DR,MAPA MOBİLYA AKSESUAR
187,CMP0L60AEUS28T,MAPA SPONTEX IBRİCA S.A.U
188,CMP3MYA571123,MOBİL OİL TÜRK A.Ş
189,CMP0MWFJLXN2WC,MİRA ENDÜSTRİYEL EĞİTİM DANIŞMANLIK ORG. İNŞ. SAN. TİC. LTD. ŞTİ.
190,CMP959FWAN112Z,MİRA ENDÜSTRİYEL EĞİTİM DANIŞMANLIK ORGANİZASYON İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ
191,CMP8M89GX8L1PL,OKSA KİMYA SANAYİ A.Ş.
192,CMP423F5JW11Y,OYSHO GİYİM İTH.İHR.VE TİC.LTD.ŞTİ.
193,CMP67XEUXY415C,TAFE INTERNATIONAL TRAKTÖR VE TAR. EKİPM.SN.VE TC.LTD.ŞTİ
194,CMP0S3D0WSL1T9,WİNPERAX CAM BALKON VE TENTE SİS.AL.PVC DOĞ.İNŞ.TAŞ.SAN.VE TİC.A.Ş.
195,CMP45UH6971M8,YÜNSA YÜNLÜ SAN. VE TİC. A.Ş.
196,CMP7B7GNMS113P,ÇOLAKOĞLU DIŞ TİCARET A.Ş.
197,CMP3TCD0WN1LK,NETA YAPI ENDÜSTRİ VE TİCARET LİMİTED ŞİRKETİ
198,CMPB8M7H39N1Y7,IWIS TAHRİK SİSTEMLERİ SAN. VE TİC.LTD.ŞTİ
199,CMPAN8ENDR519E,ÜSTAY ULUSLARARASI YAPI TAAHHÜT VE TİCARET A.Ş.
200,CMP5NFBSXF315K,ÜSTAY YAPI TAAHHÜT VE TİCARET ANONİM ŞİRKETİ
201,CMPB9H9U9F1112,ANTCAM CAM PAZARLAMA SANAYİ VE TİCARET A.Ş
202,CMP4WJASBE1GH,TAHA PAZARLAMA VE MAĞAZACILIK A.Ş.
203,CMP4L4A1CP1JH,TEKNOSA İÇ VE DIŞ A.Ş
204,CMP846C6WX8181,ATLAS ENERJİ ÜRETİM A.Ş.
269,CMP7HYDBKZL3A6,GOA INVEST S.A MERKEZİ İSPANYA İSTANBUL MERKEZ ŞUBESİ
205,CMP3UBBJJT117,CLARIANT (TÜRKİYE) BOYA VE KİMYEVİ MAD. SAN VE TİC. A.Ş. (S.BÖLGE)
206,CMP5WFGD4LW1T0,JEOTES MÜHENDİSLİK VE TİC. LTD. ŞTİ.
207,CMP47LHLST1NZ,MONROE AMORTİSÖR İMALAT VE TİCARET A.Ş.
208,CMP05YGUT6L2PS,AKANA DENİZ TEKNOLOJİLERİ SAN.TİC.LTD.ŞTİ.
209,CMP085B71R414W,ARC CHEMICALS KİMYA SANAYİ VE TİCARET LTD.ŞTİ
210,CMP7HWAF19212L,ATLAS GEMİ VANALARI VE EKİPMANLARI TİC. LTD. ŞTİ.
211,CMP8WNJC02XFSL2SR,AYHAN METAL PRES DÖKÜM SAN.VE TİC.A.Ş.
212,CMP3C8G1CL,BANDO KAYIŞ SAN.VE TİC.(TÜRKİYE)A.Ş.
213,CMP8WNHU2HXMJ61HT,BEYDEMİR KONTEYNER ÇEL.VE MAM.MAK.İTH.İHR.SAN.VE TİC.LTD.ŞTİ
214,CMP77WGW56K23C,BİRLİK KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ
215,CMPA3BGD7NR384,CANTEK TASARIM MÜH.SAN.VE TİC.A.Ş.
216,CMP3PEHXR1182,CLARIANT (TÜRKİYE) BOYA KİM.MAD.VE MADEN SN.VE TC.A.Ş.
217,CMP78SBR5R615W,DORABOX POLİSTREN AMBALAJ SANAYİ VE TİCARET LTD.ŞTİ.
218,CMP8WNNL3015RS2K7,EDEL MAKİNA İMALAT SANAYİ VE TİCARET LTD.ŞTİ.
219,CMP3PLE4M51BL,EGE FREN SANAYİ VE TİC.A.Ş. EGE SERBEST BÖLGE ŞUBESİ
220,CMP8UUDBNB51E8,EKİCİLER SÜT GIDA TAR. HAY. SAN. VE TİC. A.Ş.
221,CMP66MAH8BJ2P8,ENEKO HAV. VE ISI EKO. SİS. TEK. MAK. SAN. VE TİC.  A.Ş.
222,CMP95MC5ASY2BK,FATMER DIŞ TİC. AMB. MALZ. GIDA SAN. VE TİC. LTD. ŞTİ.
223,CMP7T0FHG1W3SP,FERRO DÖKÜM SAN. VE TİC. A.Ş.
224,CMP0SJFEKR3199,GARDEN NATURA TARIM ÜRÜNLERİ SANAYİ İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ
225,CMP9WEFX6XU3L1,GAYA ŞARAPÇILIK DAN.GIDA ELEKT.MAD. PAZ. TİC. VE SAN. LTD. ŞTİ.
226,CMP8S2B96S313H,GENERAL ELEKTRİK TİC. SAN.
227,CMP7BSPE7U0161,GÜRTEK METAL SANAYİ VE TİCARET ANONİM ŞİRKETİ
228,CMP023PKRFC281,HUBERGROUP MATBAA MALZEMELERİ ÜRETİM VE PAZ.LTD.ŞTİ.
229,CMP8WNPBJ9S0ME2HN,MİTAŞ ENDÜSTRİ SANAYİ TİCARET ANONİM ŞİRKETİ
230,CMP9N8GF6S81N9,NİPPON PAİNT TURKEY DEN. BOYA SAN. VE TİC. A.Ş.
231,CMP0CDBKY5112F,NİPRO MEDİKAL SAĞLIK HİZMETLERİ TİC.LTD.ŞTİ.
232,CMP9B3HNCD51B9,PERDESAN CAM PVC.AL.KAPI PNC.SİS.TUR.İNŞ.İTH.İHR.SAN. VE TİC.LTD.ŞTİ
233,CMP4BUGDC31A8,PİBAY TEKSTİL SANAYİ VE TİCARET A.Ş.
234,CMPA6FDAAN1132,RAN DİZEL MOTOR SANAYİ VE TİCARET LİMİTED ŞİRKETİ
235,CMP0PPG8H1G2LK,SACEV PLASTİK KALIP MAKİNA SAN.TİC.LTD.ŞTİ.
236,CMP3N2BA891F6,SEDEF GEMİ İNŞAAT A.Ş.
237,CMPA0JB8J61135,STONE GALLERY DOĞAL TAŞLAR SANAYİ VE TİCARET ANONİM ŞİRKETİ
238,CMP577AGJYB1T22,SİRENA MARİNE DENİZCİLİK SAN. TİC. A.Ş
239,CMP0LCASDW51B4,TEMPE GİYİM İTHALAT İHRACAT VE TİC. LTD. ŞTİ.
240,CMP04YAERNJ1FE,TORKPT GÜÇ AKTARIM SİSTEMLERİ İÇ VE DIŞ TİCARETLTD ŞTİ
241,CMP7LXACPDG25M,TRAVERTEN MERMER END.İNŞ.SAN. VE TİC.LTD.ŞTİ.
242,CMP0MUF8S6B1J1,VM GIDA NAKLİYAT İÇ VE DIŞ TİCARET İNŞAAT TAAHÜT ANONİM ŞİRKETİ
243,CMP8PZB1KRL1M1,VİLCKENS BOYALARI SAN.TİC.LTD.ŞTİ.
244,CMP0A5DAEB510H,YAPISAN PARK ÇOCUK OYUN İML.İNŞ.SAN VET.LTD.ŞTİ
245,CMP0NCDTDR214R,ZA GIYIM ITHALAT VE IHRACAT LTD.STI.
246,CMP8PMHC0DM2L9,ÖZGÜN GIDA SAN VE TİC LTD ŞTİ
247,CMP7060S2P1134,İNOSA DANIŞMANLIK END. ÜRN. İTH.İHR. SAN. TİC. LTD. ŞTİ.
248,CMP3J8D4K5,İZMİR ELEKTRİK ÜRETİM LTD. ŞTİ.
249,CMP3URAGJ71SK,LITHOPAK BASIM KAĞIT VE AMBALAJ SANAYİ A.Ş.
250,CMP72LEFXJ2119,UNIFREE DUTYFREE İŞLETMECİLİĞİ  A.Ş
251,CMP8WPA2N2PT8K1TW,AY MARKA MAĞAZACILIK AŞ
252,CMP88SFX7FK275,FIELDCORE SERVICE SOLUTIONS INT.TURKEY ENERJİ SİS.MÜH.HİZ.VE TİC VE SER.LTD.ŞTİ.
253,CMP97XH9JF5108,GE ENERJİ ENDÜSTRİ TİCARET VE SERVİS A.Ş.
254,CMP97YDD8BS1Y3,GE RENEWABLE ENERJİ A.Ş.
255,CMP9AWCWAFN36P,PETES MAKİNA SAN. TİC. A.Ş
256,CMPAPEACCF1112,WABTEC FAIVELEY RAYLI SİSTEMLERİ LİMİTED ŞİRKETİ
257,CMP8NPHAXSK1S1,AUSTRIA CARD TURKEY KART OPERASYONLARI A.Ş.
258,CMP4HBH7CR14A,GİPS GELİŞTİRİLMİŞ İNŞ MALZ.VE PERLİTLİ SIVA SN.VE TC. A.Ş.
259,CMP4BRBXB31N6,KILAVUZ PROSES ÇÖZÜMLERİ TİC. LTD.ŞTİ
260,CMP7PKDL5T111W,NETAŞ BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ
261,CMP9LTDGNKU1ZG,PARSIS COMMERCE DIŞ TİC. LTD. ŞTİ. İSTANBUL ATATÜRK HAVALİMANI SERBEST BÖLGE ŞUBESİ
262,CMP8PUJ7LZ61JR,SYNPET TEKNOLOJİ GELİŞTİRME A.Ş
263,CMPB9BG34L01GJ,XFM OTOMOTİV SAN.TİC.A.Ş.
264,CMP7MHGBW43139,YAMAZAKİ MAZAK TURKEY MAKİNA LTD.ŞTİ.
265,CMPABTBTPB1112,UNİJEN DIŞ TİC.LTD.ŞTİ
266,CMP93AG390C1KX,ATÜ TURİZM İŞLETMECİLİĞİ A.Ş...
267,CMP9KYGP5Y215T,DECORGA PINTURA S.L.MERKEZİ İSPANYA İSTANBUL MERKEZ ŞB.
